|6.6.6
h2o_1E-14_3.tab                                                                                     
           2
f_CO2   
  -12.000000000000000     
   4.1139240506329111E-002
         317
f_O2    
  -110.00000000000000     
  0.34810126582278483     
         317
           8
f_CO2          f_O2           MgO,wt%        FeO,wt%        SiO2,wt%       H2O,wt%        O2,wt%         CO2,wt%       
 -1.38608       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.34494       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.30380       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.26266       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.22152       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.18038       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.13924       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.09810       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.05696       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 -1.01582       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.974684       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.933544       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.892405       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.851266       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.810127       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.768987       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.727848       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.686709       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.645570       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.604430       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.563291       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.522152       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.481013       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.439873       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.398734       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.357595       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.316456       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.275316       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.234177       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.193038       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.151899       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.110759       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.696203E-001  -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
-0.284810E-001  -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.126582E-001  -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.537975E-001  -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.949367E-001  -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.136076       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.177215       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.218354       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.259494       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.300633       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.341772       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
 0.382911       -110.000        19.0455        22.6330        23.6603        0.00000        0.00000        34.6612     
